Project Name,announcementSummary,title,callTitle,tags,Keywords,Beginning,Deadline,URL
STAGE SUSTAINABILITY TRANSITION PROGRAMME,['Sustainable Transition to the Agile and Green Enterprise'],"[""'Innovate to transform' support for SME's sustainability transition (CSA)""]",['STAGE SUSTAINABILITY TRANSITION PROGRAMME'],,[],17 07 2023,31 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/3701
Permanently Open Call for Targeted Innovation Projects,['EIT Urban Mobility Business Plan 2023-2025'],['EIT Urban Mobility Business Plan 2023-2025'],['Permanently Open Call for Targeted Innovation Projects'],,['Innovation'],14 12 2023,31 12 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/4602
"Transforming Food Systems - reshaping food system interactions, fostering food innovations and empowering sustainable food choices",['European partnership for a sustainable Future of Food Systems'],"['European partnership on sustainable food systems for people, planet and climate']","['Transforming Food Systems - reshaping food system interactions, fostering food innovations and empowering sustainable food choices']",,[],06 11 2024,09 07 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9386
EIT RawMaterials Booster Call 2024-2025 for Startups and SMEs,['EIT RawMatrials Business Plan 2023-2025'],['EIT Raw Materials Business Plan 2023-2025'],['EIT RawMaterials Booster Call 2024-2025 for Startups and SMEs'],,[],25 03 2024,06 05 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/5822
EIT RawMaterials KAVA CALL 13 - UPSCALING,['EIT RawMatrials Business Plan 2023-2025'],['EIT Raw Materials Business Plan 2023-2025'],['EIT RawMaterials KAVA CALL 13 - UPSCALING'],,[],07 10 2024,28 11 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9141
UP-RISE Open call for fermented food processors,"['EU-AU PARTNERSHIP FOR RESILIENT, INCLUSIVE AND SAFE FOOD SYSTEMS FOR EVERYONE']",['EU-Africa Union – food safety'],['UP-RISE Open call for fermented food processors'],,[],07 10 2024,07 12 2024,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9087
STAGE Financial Grant Programme Call 4,['Sustainable Transition to the Agile and Green Enterprise'],"[""'Innovate to transform' support for SME's sustainability transition (CSA)""]",['STAGE Financial Grant Programme Call 4'],,[],15 07 2024,01 01 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/8181
EIT Food Impact Funding Framework,['EIT Food Business Plan 2023-2025'],['EIT Food Business Plan 2023-2025'],['EIT Food Impact Funding Framework'],,[],21 06 2024,13 11 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/7641
Fostering Pragmatic Comparative-Effectiveness Trials in Non-communicable Diseases (EffecTrial),['Fostering a European Research Area for Health Research'],['European partnership fostering a European Research Area (ERA) for health research'],['Fostering Pragmatic Comparative-Effectiveness Trials in Non-communicable Diseases (EffecTrial)'],,[],20 11 2024,17 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9362
Better care closer to home: Enhancing primary and community care,['European Partnership on Transforming Health and Care Systems'],['European partnership on transforming health and care systems'],['Better care closer to home: Enhancing primary and community care'],,[],26 11 2024,19 06 2025,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/9511
